id,type,direction,angle,location,category,rating
17,0,0,2,0,social,7
17,0,1,0,0,easiness,5
17,0,1,0,0,comfort,4
17,0,1,0,0,confidence,7
17,0,1,0,0,social,7
17,0,1,1,0,easiness,3
17,0,1,1,0,comfort,4
17,0,1,1,0,confidence,7
17,0,1,1,0,social,7
17,0,1,2,0,easiness,7
17,0,1,2,0,comfort,7
17,0,1,2,0,confidence,7
17,0,1,2,0,social,7
14,0,0,0,0,easiness,7
14,0,0,0,0,comfort,7
14,0,0,0,0,confidence,7
14,0,0,0,0,social,7
14,0,0,1,0,easiness,7
14,0,0,1,0,comfort,7
14,0,0,1,0,confidence,7
14,0,0,1,0,social,7
14,0,0,2,0,easiness,7
14,0,0,2,0,comfort,7
14,0,0,2,0,confidence,7
14,0,0,2,0,social,7
14,0,1,0,0,easiness,6
14,0,1,0,0,comfort,5
14,0,1,0,0,confidence,7
14,0,1,0,0,social,7
14,0,1,1,0,easiness,5
14,0,1,1,0,comfort,4
14,0,1,1,0,confidence,6
14,0,1,1,0,social,5
14,0,1,2,0,easiness,5
14,0,1,2,0,comfort,6
14,0,1,2,0,confidence,5
14,0,1,2,0,social,6
9,0,0,0,0,easiness,7
9,0,0,0,0,comfort,7
9,0,0,0,0,confidence,7
9,0,0,0,0,social,7
9,0,0,1,0,easiness,6
9,0,0,1,0,comfort,6
9,0,0,1,0,confidence,7
9,0,0,1,0,social,7
9,0,0,2,0,easiness,4
9,0,0,2,0,comfort,4
9,0,0,2,0,confidence,6
9,0,0,2,0,social,7
9,0,1,0,0,easiness,6
9,0,1,0,0,comfort,6
9,0,1,0,0,confidence,7
9,0,1,0,0,social,7
9,0,1,1,0,easiness,4
9,0,1,1,0,comfort,4
9,0,1,1,0,confidence,6
9,0,1,1,0,social,7
9,0,1,2,0,easiness,3
9,0,1,2,0,comfort,3
9,0,1,2,0,confidence,7
9,0,1,2,0,social,6
22,0,0,0,0,easiness,7
22,0,0,0,0,comfort,7
22,0,0,0,0,confidence,7
22,0,0,0,0,social,7
22,0,0,1,0,easiness,7
22,0,0,1,0,comfort,7
22,0,0,1,0,confidence,7
22,0,0,1,0,social,7
22,0,0,2,0,easiness,6
22,0,0,2,0,comfort,6
22,0,0,2,0,confidence,6
22,0,0,2,0,social,7
22,0,1,0,0,easiness,7
22,0,1,0,0,comfort,5
22,0,1,0,0,confidence,4
22,0,1,0,0,social,7
22,0,1,1,0,easiness,5
22,0,1,1,0,comfort,5
22,0,1,1,0,confidence,5
22,0,1,1,0,social,5
22,0,1,2,0,easiness,4
22,0,1,2,0,comfort,4
22,0,1,2,0,confidence,5
22,0,1,2,0,social,5
19,0,0,0,0,easiness,7
19,0,0,0,0,comfort,7
19,0,0,0,0,confidence,7
19,0,0,0,0,social,7
19,0,0,1,0,easiness,5
19,0,0,1,0,comfort,5
19,0,0,1,0,confidence,5
19,0,0,1,0,social,7
19,0,0,2,0,easiness,4
19,0,0,2,0,comfort,2
19,0,0,2,0,confidence,2
19,0,0,2,0,social,7
19,0,1,0,0,easiness,7
19,0,1,0,0,comfort,6
19,0,1,0,0,confidence,6
19,0,1,0,0,social,7
19,0,1,1,0,easiness,4
19,0,1,1,0,comfort,3
19,0,1,1,0,confidence,3
19,0,1,1,0,social,7
19,0,1,2,0,easiness,2
19,0,1,2,0,comfort,2
19,0,1,2,0,confidence,1
19,0,1,2,0,social,6
10,0,0,0,0,easiness,7
10,0,0,0,0,comfort,7
10,0,0,0,0,confidence,7
10,0,0,0,0,social,7
