id,type,direction,angle,location,block,trial,errors,time,correct
1,0,1,0,0,1,0,0,1638,true
1,0,1,0,0,1,1,0,2056,true
1,0,0,2,0,1,0,0,1457,true
1,0,0,2,0,1,1,0,1164,true
1,0,1,1,0,1,0,0,1952,true
1,0,1,1,0,1,1,0,1536,true
1,0,0,0,0,1,0,0,1241,true
1,0,0,0,0,1,1,0,1277,true
1,0,1,2,0,1,0,0,2150,true
1,0,1,2,0,1,1,0,1672,true
1,0,0,1,0,1,0,0,1213,true
1,0,0,1,0,1,1,0,1310,true
1,0,1,1,0,2,0,1,1816,true
1,0,1,1,0,2,1,0,1748,true
1,0,1,2,0,2,0,0,2021,true
1,0,1,2,0,2,1,0,1535,true
1,0,0,1,0,2,0,0,1189,true
1,0,0,1,0,2,1,0,1235,true
1,0,0,2,0,2,0,0,1265,true
1,0,0,2,0,2,1,0,1342,true
1,0,1,0,0,2,0,1,1334,true
1,0,1,0,0,2,1,0,1501,true
1,0,0,0,0,2,0,0,1110,true
1,0,0,0,0,2,1,0,1286,true
1,0,0,0,0,3,0,0,1037,true
1,0,0,0,0,3,1,0,1315,true
1,0,1,1,0,3,0,0,1559,true
1,0,1,1,0,3,1,0,1654,true
1,0,1,0,0,3,0,0,1408,true
1,0,1,0,0,3,1,0,1712,true
1,0,0,2,0,3,0,0,1443,true
1,0,0,2,0,3,1,0,1788,true
1,0,1,2,0,3,0,0,1607,true
1,0,1,2,0,3,1,0,1457,true
1,0,0,1,0,3,0,0,1234,true
1,0,0,1,0,3,1,0,1331,true
1,1,0,-1,2,1,0,0,1252,true
1,1,0,-1,2,1,1,0,1382,true
1,1,1,-1,2,1,0,1,1725,true
1,1,1,-1,2,1,1,0,1252,true
1,1,0,-1,1,1,0,2,1503,false
1,1,0,-1,1,1,1,2,1267,false
1,1,1,-1,1,1,0,0,1015,true
1,1,1,-1,1,1,1,1,841,true
1,1,0,-1,6,1,0,0,1118,true
1,1,0,-1,6,1,1,0,1052,true
1,1,1,-1,6,1,0,0,1459,true
1,1,1,-1,6,1,1,0,1164,true
1,1,0,-1,5,1,0,0,1128,true
1,1,0,-1,5,1,1,0,1365,true
1,1,1,-1,5,1,0,0,1304,true
1,1,1,-1,5,1,1,0,1195,true
1,1,0,-1,3,1,0,0,1030,true
1,1,0,-1,3,1,1,1,884,true
1,1,1,-1,3,1,0,0,1514,true
1,1,1,-1,3,1,1,0,1487,true
1,1,0,-1,8,1,0,0,1138,true
1,1,0,-1,8,1,1,0,1151,true
1,1,1,-1,8,1,0,0,1293,true
